set_number,timestep,mse,ssim
1,350,0.02173633873462677,0.07199809461754436
1,340,0.020876236259937286,0.10365650565673908
1,330,0.020876236259937286,0.10365650565673908
1,320,0.020876236259937286,0.10365650565673908
1,310,0.020876236259937286,0.10365650565673908
1,300,0.020876236259937286,0.10365650565673908
1,290,0.020876236259937286,0.10365650565673908
1,280,0.02087913453578949,0.10375207843465938
1,270,0.020876236259937286,0.10365650565673908
1,260,0.020900487899780273,0.10221266135599258
1,250,0.02094855345785618,0.10049308687965904
2,350,0.08051162213087082,0.19042906259755707
2,340,0.08388084918260574,0.19988264638025108
2,330,0.08760873228311539,0.17681138469921684
2,320,0.0808999314904213,0.19555999138082067
2,310,0.08203071355819702,0.19730189348487734
2,300,0.08065775781869888,0.1820051204596853
2,290,0.08247396349906921,0.19248769264804044
2,280,0.08232193440198898,0.19240017420793365
2,270,0.08047298341989517,0.17756966922380443
2,260,0.08315333724021912,0.1951891918040605
2,250,0.08063441514968872,0.1814295007298804
3,350,0.048516158014535904,-0.0011119407817993003
3,340,0.0502660907804966,0.0007693318983365316
3,330,0.05677903816103935,-0.0647956030308463
3,320,0.048881787806749344,-0.024585592402662667
3,310,0.049393195658922195,-0.021416854872756328
3,300,0.043203264474868774,0.062058364531387473
3,290,0.05283424258232117,-0.00816189940507886
3,280,0.05235912278294563,-0.014228305394887382
3,270,0.049841489642858505,-0.007381987121189013
3,260,0.052555929869413376,0.03682750820259874
3,250,0.0485980249941349,0.01369198119031757
4,350,0.05384272709488869,0.1298273784837996
4,340,0.05493141710758209,0.11146327963098884
4,330,0.055691882967948914,0.09190734176586071
4,320,0.04975384473800659,0.24402409636389671
4,310,0.05260052904486656,0.16485773003297963
4,300,0.05413949489593506,0.12875115791749622
4,290,0.05284632742404938,0.15591636883069038
4,280,0.051741037517786026,0.17840087994312245
4,270,0.05055202916264534,0.22160224315503405
4,260,0.05012432113289833,0.22579404034858777
4,250,0.04942875728011131,0.2452735959376312
5,350,0.057391200214624405,0.33866591066037977
5,340,0.055815745145082474,0.23062210354093823
5,330,0.054649706929922104,0.20528941022227323
5,320,0.056168872863054276,0.2886616981888397
5,310,0.05424675717949867,0.22427194898146102
5,300,0.05481034517288208,0.3064077730313875
5,290,0.05539160594344139,0.3115489678115894
5,280,0.06372136622667313,0.34849442736873043
5,270,0.058105092495679855,0.3346869139016295
5,260,0.0544789619743824,0.25220440256249277
5,250,0.060710448771715164,0.2612714239632482
6,350,0.11646034568548203,0.2549973569644822
6,340,0.11682665348052979,0.24333767068882783
6,330,0.11932175606489182,0.2658055717498064
6,320,0.12201378494501114,0.28402731651647223
6,310,0.12131250649690628,0.2925407067036657
6,300,0.11793571710586548,0.25502581871011193
6,290,0.11917430907487869,0.27527174409892824
6,280,0.12348339706659317,0.2939869429626399
6,270,0.12051057815551758,0.27479254038797485
6,260,0.11789260059595108,0.26008694883022043
6,250,0.1162663996219635,0.2528632007415096
7,350,0.05692603066563606,0.34393868469817485
7,340,0.05758355185389519,0.3382746507399618
7,330,0.05531570315361023,0.38106864603223384
7,320,0.06089891865849495,0.21847793657125697
7,310,0.06092112883925438,0.23791107388316757
7,300,0.05814086273312569,0.2983277466430122
